stationName,lineName,dt,statusN,statusS,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,heatIndexF,dewPointC,dewPointF,windChillC,windChillF,windGustMiles,windGustKmph,feelsLikeC,feelsLikeF
Taft Ave.,EDSA,9/1/2015 0:00,0.5,0.5,0.3,0.305555556,0.142857143,0.113636364,0.770538244,0.631578947,0,0.869565217,1,0.724137931,0.33,0.344827586,0.358490566,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.358490566
Taft Ave.,EDSA,9/1/2015 0:15,0.5,0.5,0.3,0.305555556,0.133928571,0.113636364,0.779036827,0.631578947,0,0.873188406,1,0.715517241,0.3225,0.344827586,0.353773585,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.353773585
Taft Ave.,EDSA,9/1/2015 0:30,0,0,0.3,0.305555556,0.125,0.113636364,0.787535411,0.631578947,0,0.876811594,1,0.706896552,0.315,0.344827586,0.349056604,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.349056604
Taft Ave.,EDSA,9/1/2015 0:45,0,0,0.3,0.305555556,0.116071429,0.113636364,0.796033994,0.631578947,0,0.880434783,1,0.698275862,0.3075,0.344827586,0.344339623,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.344339623
Taft Ave.,EDSA,9/1/2015 1:00,0,0,0.3,0.305555556,0.107142857,0.113636364,0.804532578,0.631578947,0,0.884057971,1,0.689655172,0.3,0.344827586,0.339622642,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.339622642
Taft Ave.,EDSA,9/1/2015 1:15,0,0,0.3,0.305555556,0.107142857,0.107954545,0.813739377,0.710526316,0,0.887681159,0.96875,0.689655172,0.295,0.344827586,0.339622642,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.339622642
Taft Ave.,EDSA,9/1/2015 1:30,0,0,0.3,0.305555556,0.107142857,0.102272727,0.822946176,0.789473684,0,0.891304348,0.9375,0.689655172,0.29,0.344827586,0.339622642,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.339622642
Taft Ave.,EDSA,9/1/2015 1:45,0,0,0.3,0.305555556,0.107142857,0.096590909,0.832152975,0.868421053,0,0.894927536,0.90625,0.689655172,0.285,0.344827586,0.339622642,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.339622642
Taft Ave.,EDSA,9/1/2015 2:00,0,0,0.3,0.305555556,0.107142857,0.090909091,0.841359773,0.947368421,0,0.898550725,0.875,0.689655172,0.28,0.344827586,0.339622642,0.692307692,0.72,0.3,0.305555556,0.090909091,0.097222222,0.344827586,0.339622642
Taft Ave.,EDSA,9/1/2015 2:15,0,0,0.3,0.305555556,0.107142857,0.090909091,0.849858357,0.947368421,0,0.902173913,0.875,0.689655172,0.2725,0.336206897,0.339622642,0.711538462,0.72,0.3,0.305555556,0.090909091,0.097222222,0.336206897,0.339622642
Taft Ave.,EDSA,9/1/2015 2:30,0,0,0.3,0.305555556,0.107142857,0.090909091,0.858356941,0.947368421,0,0.905797101,0.875,0.689655172,0.265,0.327586207,0.339622642,0.730769231,0.72,0.3,0.305555556,0.090909091,0.097222222,0.327586207,0.339622642
Taft Ave.,EDSA,9/1/2015 2:45,0,0,0.3,0.305555556,0.107142857,0.090909091,0.866855524,0.947368421,0,0.90942029,0.875,0.689655172,0.2575,0.318965517,0.339622642,0.75,0.72,0.3,0.305555556,0.090909091,0.097222222,0.318965517,0.339622642
Taft Ave.,EDSA,9/1/2015 3:00,0,0,0.3,0.305555556,0.107142857,0.090909091,0.875354108,0.947368421,0,0.913043478,0.875,0.689655172,0.25,0.310344828,0.339622642,0.769230769,0.72,0.3,0.305555556,0.090909091,0.097222222,0.310344828,0.339622642
Taft Ave.,EDSA,9/1/2015 3:15,0,0,0.3,0.305555556,0.107142857,0.090909091,0.876770538,0.947368421,0,0.90942029,0.90625,0.689655172,0.245,0.318965517,0.344339623,0.769230769,0.72,0.3,0.305555556,0.085227273,0.09375,0.318965517,0.344339623
Taft Ave.,EDSA,9/1/2015 3:30,0,0,0.3,0.305555556,0.107142857,0.090909091,0.878186969,0.947368421,0,0.905797101,0.9375,0.689655172,0.24,0.327586207,0.349056604,0.769230769,0.72,0.3,0.305555556,0.079545455,0.090277778,0.327586207,0.349056604
Taft Ave.,EDSA,9/1/2015 3:45,0,0,0.3,0.305555556,0.107142857,0.090909091,0.879603399,0.947368421,0,0.902173913,0.96875,0.689655172,0.235,0.336206897,0.353773585,0.769230769,0.72,0.3,0.305555556,0.073863636,0.086805556,0.336206897,0.353773585
Taft Ave.,EDSA,9/1/2015 4:00,0,0,0.3,0.305555556,0.107142857,0.090909091,0.88101983,0.947368421,0,0.898550725,1,0.689655172,0.23,0.344827586,0.358490566,0.769230769,0.72,0.3,0.305555556,0.068181818,0.083333333,0.344827586,0.358490566
Taft Ave.,EDSA,9/1/2015 4:15,0,0,0.3,0.3125,0.107142857,0.090909091,0.882436261,0.710526316,0,0.891304348,1,0.689655172,0.225,0.353448276,0.367924528,0.769230769,0.73,0.3,0.3125,0.068181818,0.083333333,0.353448276,0.367924528
Taft Ave.,EDSA,9/1/2015 4:30,0,0,0.3,0.319444444,0.107142857,0.090909091,0.883852691,0.473684211,0,0.884057971,1,0.689655172,0.22,0.362068966,0.377358491,0.769230769,0.74,0.3,0.319444444,0.068181818,0.083333333,0.362068966,0.377358491
Taft Ave.,EDSA,9/1/2015 4:45,0,0,0.3,0.326388889,0.107142857,0.090909091,0.885269122,0.236842105,0,0.876811594,1,0.689655172,0.215,0.370689655,0.386792453,0.769230769,0.75,0.3,0.326388889,0.068181818,0.083333333,0.370689655,0.386792453
Taft Ave.,EDSA,9/1/2015 5:00,0,0,0.3,0.333333333,0.107142857,0.090909091,0.886685552,0,0,0.869565217,1,0.689655172,0.21,0.379310345,0.396226415,0.769230769,0.76,0.3,0.333333333,0.068181818,0.083333333,0.379310345,0.396226415
Taft Ave.,EDSA,9/1/2015 5:15,0,0,0.3125,0.340277778,0.107142857,0.085227273,0.888810198,0.223684211,0,0.865942029,1,0.689655172,0.205,0.387931034,0.405660377,0.769230769,0.76,0.3125,0.340277778,0.068181818,0.079861111,0.387931034,0.405660377
Taft Ave.,EDSA,9/1/2015 5:30,0,0,0.325,0.347222222,0.107142857,0.079545455,0.890934844,0.447368421,0,0.862318841,1,0.689655172,0.2,0.396551724,0.41509434,0.769230769,0.76,0.325,0.347222222,0.068181818,0.076388889,0.396551724,0.41509434
Taft Ave.,EDSA,9/1/2015 5:45,0,0.5,0.3375,0.354166667,0.107142857,0.073863636,0.89305949,0.671052632,0,0.858695652,1,0.689655172,0.195,0.405172414,0.424528302,0.769230769,0.76,0.3375,0.354166667,0.068181818,0.072916667,0.405172414,0.424528302
Taft Ave.,EDSA,9/1/2015 6:00,0,0.5,0.35,0.361111111,0.107142857,0.068181818,0.895184136,0.894736842,0,0.855072464,1,0.689655172,0.19,0.413793103,0.433962264,0.769230769,0.76,0.35,0.361111111,0.068181818,0.069444444,0.413793103,0.433962264
Taft Ave.,EDSA,9/1/2015 6:15,0,0.5,0.3625,0.381944444,0.107142857,0.068181818,0.890934844,0.894736842,0,0.836956522,1,0.689655172,0.19,0.439655172,0.452830189,0.769230769,0.77,0.3625,0.381944444,0.068181818,0.069444444,0.439655172,0.452830189
Taft Ave.,EDSA,9/1/2015 6:30,0,1,0.375,0.402777778,0.107142857,0.068181818,0.886685552,0.894736842,0,0.81884058,1,0.689655172,0.19,0.465517241,0.471698113,0.769230769,0.78,0.375,0.402777778,0.068181818,0.069444444,0.465517241,0.471698113
Taft Ave.,EDSA,9/1/2015 6:45,0,1,0.3875,0.423611111,0.107142857,0.068181818,0.882436261,0.894736842,0,0.800724638,1,0.689655172,0.19,0.49137931,0.490566038,0.769230769,0.79,0.3875,0.423611111,0.068181818,0.069444444,0.49137931,0.490566038
Taft Ave.,EDSA,9/1/2015 7:00,0,1,0.4,0.444444444,0.107142857,0.068181818,0.878186969,0.894736842,0,0.782608696,1,0.689655172,0.19,0.517241379,0.509433962,0.769230769,0.8,0.4,0.444444444,0.068181818,0.069444444,0.517241379,0.509433962
Taft Ave.,EDSA,9/1/2015 7:15,0,1,0.425,0.465277778,0.107142857,0.073863636,0.873937677,0.894736842,0,0.760869565,1,0.689655172,0.19,0.543103448,0.533018868,0.788461538,0.8,0.425,0.465277778,0.068181818,0.069444444,0.543103448,0.533018868
Taft Ave.,EDSA,9/1/2015 7:30,0,1,0.45,0.486111111,0.107142857,0.079545455,0.869688385,0.894736842,0,0.739130435,1,0.689655172,0.19,0.568965517,0.556603774,0.807692308,0.8,0.45,0.486111111,0.068181818,0.069444444,0.568965517,0.556603774
Taft Ave.,EDSA,9/1/2015 7:45,0,1,0.475,0.506944444,0.107142857,0.085227273,0.865439093,0.894736842,0,0.717391304,1,0.689655172,0.19,0.594827586,0.580188679,0.826923077,0.8,0.475,0.506944444,0.068181818,0.069444444,0.594827586,0.580188679
Taft Ave.,EDSA,9/1/2015 8:00,0.5,1,0.5,0.527777778,0.107142857,0.090909091,0.861189802,0.894736842,0,0.695652174,1,0.689655172,0.19,0.620689655,0.603773585,0.846153846,0.8,0.5,0.527777778,0.068181818,0.069444444,0.620689655,0.603773585
